Authors: Tile. Publication data,Search Specific Keywords,EC1,EC2,EC3
"Alexander A. Visheratin, Mikhail Melnik, Denis A. Nasonov: Dynamic Resources Configuration for Coevolutionary Scheduling of Scientific Workflows in Cloud Environment. SOCO-CISIS-ICEUTE 2017: 13-23",coevolution cloud,X,X,X
"Weiping Ding, Chin-Teng Lin, Mukesh Prasad, Senbo Chen, Zhijin Guan: Attribute Equilibrium Dominance Reduction Accelerator (DCCAEDR) Based on Distributed Coevolutionary Cloud and Its Application in Medical Records. IEEE Trans. Systems, Man, and Cybernetics: Systems 46(3): 384-400 (2016)",coevolution cloud,X,X,X
"Denis A. Nasonov, Mikhail Melnik, Anton Radice: Coevolutionary Workflow Scheduling in a Dynamic Cloud Environment. SOCO-CISIS-ICEUTE 2016: 189-200",coevolution cloud,X,X,X
"Hai-Hao Li, Zong-Gan Chen, Zhi-Hui Zhan, Ke-Jing Du, Jun Zhang: Renumber Coevolutionary Multiswarm Particle Swarm Optimization for Multi-objective Workflow Scheduling on Cloud Computing Environment. GECCO (Companion) 2015: 1419-1420",coevolution cloud,X,X,X
"Denis A. Nasonov, Mikhail Melnik, Natalya Shindyapina, Nikolay Butakov: Metaheuristic Coevolution Workflow Scheduling in Cloud Environment. IJCCI (ECTA) 2015: 252-260",coevolution cloud,X,X,X
"Maxweel Carmo, Felipe Sampaio Dantas da Silva, Augusto José Venâncio Neto, Daniel Corujo, Rui L. Aguiar: Network-Cloud Slicing Definitions for Wi-Fi Sharing Systems to Enhance 5G Ultra Dense Network Capabilities. Wireless Communications and Mobile Computing 2019 (2019)",slicing cloud,X,X,X
"Yinghui Wang, Lijuan Wang, Wen Hao, Xiaojuan Ning, Zhenghao Shi, Minghua Zhao: A Novel Slicing-Based Regularization Method for Raw Point Clouds in Visible IoT. IEEE Access 6: 18299-18309 (2018)",slicing cloud,X,X,X
"Ilias Benkacem, Tarik Taleb, Miloud Bagaa, Hannu Flinck: Optimal VNFs Placement in CDN Slicing Over Multi-Cloud Environment. IEEE Journal on Selected Areas in Communications 36(3): 616-627 (2018)",slicing cloud,X,X,X
"Ying Loong Lee, Jonathan Loo, Teong Chee Chuah, Li-Chun Wang: Dynamic Network Slicing for Multitenant Heterogeneous Cloud Radio Access Networks. IEEE Trans. Wireless Communications 17(4): 2146-2161 (2018)",slicing cloud,X,X,X
"Line M. P. Larsen, Michael S. Berger, Henrik Lehrmann Christiansen: Fronthaul for Cloud-RAN Enabling Network Slicing in 5G Mobile Networks. Wireless Communications and Mobile Computing 2018: 4860212:1-4860212:8 (2018)",slicing cloud,X,X,X
"Salvatore Costanzo, Ilhem Fajjari, Nadjib Aitsaadi, Rami Langar: A network slicing prototype for a flexible cloud radio access network. CCNC 2018: 1-4",slicing cloud,X,X,X
"Koichiro Amemiya, Yuko Akiyama, Kazunari Kobayashi, Yoshio Inoue, Shu Yamamoto, Akihiro Nakao: On-Site Evaluation of a Software Cellular Based MEC System with Downlink Slicing Technology. CloudNet 2018: 1-7",slicing cloud,X,X,X
"Ping Du, Akihiro Nakao: Deep Learning-based Application Specific RAN Slicing for Mobile Networks. CloudNet 2018: 1-3",slicing cloud,X,X,X
"Marcilio O. O. Lemos, Felipe Sampaio Dantas da Silva, Augusto José Venâncio Neto: Analysis of Security Requirements in Federated Cloud Slicing Ecosystems: A Case Study of the NECOS Platform. ISCC 2018: 1271-1275",slicing cloud,X,X,X
"Felipe Sampaio Dantas da Silva, Marcilio O. O. Lemos, Alisson Medeiros, Augusto José Venâncio Neto, Rafael Pasquini, David Moura, Christian Esteve Rothenberg, Lefteris Mamatas, Sand Luz Correa, Kleber Vieira Cardoso, Cesar Marcondes, Antonio Abelém, Marcelo Ribeiro Nascimento, Alex Galis, Luis Contreras, Joan Serrat, Panagiotis Papadimitriou: NECOS Project: Towards Lightweight Slicing of Cloud Federated Infrastructures. NetSoft 2018: 406-414",slicing cloud,X,X,X
"Yang Jia, Hui Tian, Shaoshuai Fan, Pengtao Zhao, Kun Zhao: Bankruptcy game based resource allocation algorithm for 5G Cloud-RAN slicing. WCNC 2018: 1-6",slicing cloud,X,X,X
"Mahdi Ezzaouia, Cédric Gueguen, Melhem El Helou, Mahmoud Ammar, Xavier Lagrange, Ammar Bouallegue: A dynamic transmission strategy based on network slicing for cloud radio access networks. Wireless Days 2018: 40-45",slicing cloud,X,X,X
"Nguyen-Ha Vu, Long Bao Le: End-to-End Network Slicing in Virtualized OFDMA-Based Cloud Radio Access Networks. IEEE Access 5: 18675-18691 (2017)",slicing cloud,X,X,X
"Sameerkumar Sharma, Ray Miller, Andrea Francini: A Cloud-Native Approach to 5G Network Slicing. IEEE Communications Magazine 55(8): 120-127 (2017)",slicing cloud,X,X,X
"Abdelquoddouss Laghrissi, Tarik Taleb, Miloud Bagaa, Hannu Flinck: Towards Edge Slicing: VNF Placement Algorithms for a Dynamic & Realistic Edge Cloud Environment. GLOBECOM 2017: 1-6",slicing cloud,X,X,X
"Roberto Bruschi, Franco Davoli, Paolo Lago, Jane Frances Pajo: A scalable SDN slicing scheme for multi-domain fog/cloud services. NetSoft 2017: 1-6",slicing cloud,X,X,X
"Quan Wang, Pengfei Yang, Ling Huang, Qi Wei, Yongtao Liang: An Adaptive Slicing Thickness Adjustment Method Based on Cloud Point in 3D Printing. ICESS 2016: 108-113",slicing cloud,X,X,X
"Guolei Wang, Jianhui Cheng, Ronghua Li, Ken Chen: A new point cloud slicing based path planning algorithm for robotic spray painting. ROBIO 2015: 1717-1722",slicing cloud,X,X,X
"Niezi Mharsi, Makhlouf Hadji: A mathematical programming approach for full coverage hole optimization in Cloud Radio Access Networks. Computer Networks 150: 117-126 (2019)",coverage cloud,X,X,X
"Peng Li, Zhiming Feng, Chiwei Xiao: Acquisition probability differences in cloud coverage of the available Landsat observations over mainland Southeast Asia from 1986 to 2015. Int. J. Digital Earth 11(5): 437-450 (2018)",coverage cloud,X,X,X
"Claire E. Bulgin, Jonathan P. D. Mittaz, Owen Embury, Steinar Eastwood, Christopher J. Merchant: Bayesian Cloud Detection for 37 Years of Advanced Very High Resolution Radiometer (AVHRR) Global Area Coverage (GAC) Data. Remote Sensing 10(1): 97 (2018)",coverage cloud,X,X,X
"Antonio Adaldo, Dimos V. Dimarogonas, Karl Henrik Johansson: Cloud-supported effective coverage of 3D structures. ECC 2018: 1-6",coverage cloud,X,X,X
"Azadeh Ghari Neiat, Athman Bouguettaya, Timos Sellis, Sajib Mistry: Crowdsourced Coverage as a Service: Two-Level Composition of Sensor Cloud Services. IEEE Trans. Knowl. Data Eng. 29(7): 1384-1397 (2017)",coverage cloud,X,X,X
"Ting Yang, Haibo Pen, Wei Li, Dong Yuan, Albert Y. Zomaya: An Energy-Efficient Storage Strategy for Cloud Datacenters Based on Variable K-Coverage of a Hypergraph. IEEE Trans. Parallel Distrib. Syst. 28(12): 3344-3355 (2017)",coverage cloud,X,X,X
"Sreejith T. Veetil, Kiran Kuchi, Radha Krishna Ganti: Coverage Analysis of Cloud Radio Networks With Finite Clustering. IEEE Trans. Wireless Communications 16(1): 594-606 (2017)",coverage cloud,X,X,X
"Christian Meurisch, Julien Gedeon, Artur Gogel, The An Binh Nguyen, Fabian Kaup, Florian Kohnhäuser, Lars Baumgärtner, Milan Schmittner, Max Mühlhäuser: Temporal Coverage Analysis of Router-Based Cloudlets Using Human Mobility Patterns. GLOBECOM 2017: 1-6",coverage cloud,X,X,X
"Munzali Ahmed Abana, Mugen Peng, Zhongyuan Zhao, Lukman A. Olawoyin: Coverage and Rate Analysis in Heterogeneous Cloud Radio Access Networks With Device-to-Device Communication. IEEE Access 4: 2357-2370 (2016)",coverage cloud,X,X,X
"Daniel Holdaway, Yuekui Yang: Study of the Effect of Temporal Sampling Frequency on DSCOVR Observations Using the GEOS-5 Nature Run Results (Part II): Cloud Coverage. Remote Sensing 8(5): 431 (2016)",coverage cloud,X,X,X
"Yonit Magid, Rachel Tzoref-Brill, Marcel Zalmanovici: Coverage-based metrics for cloud adaptation. QUDOS@ISSTA 2016: 1-6",coverage cloud,PASS,PASS,PASS
Mhamed Zineddine: Vulnerabilities and mitigation techniques toning in the cloud: A cost and vulnerabilities coverage optimization approach using Cuckoo search algorithm with Lévy flights. Computers & Security 48: 1-18 (2015),coverage cloud,X,X,X
"Syed Ali Raza Zaidi, Ali Imran, Desmond C. McLernon, Mounir Ghogho: Characterizing Coverage and Downlink Throughput of Cloud Empowered HetNets. IEEE Communications Letters 19(6): 1013-1016 (2015)",coverage cloud,X,X,X
"Qin Qin, Yongqiang He, Liming Nie: Cooperative Cloud Service Aware Mobile Internet Coverage Connectivity Guarantee Protocol Based on Sensor Opportunistic Coverage Mechanism. J. Electrical and Computer Engineering 2015: 128691:1-128691:8 (2015)",coverage cloud,X,X,X
"Biplab K. Sen, Sunirmal Khatua, Rajib Kumar Das: Target coverage using a collaborative platform for sensor cloud. IEEE ANTS 2015: 1-6",coverage cloud,X,X,X
"Subarna Chatterjee, Sudip Misra: Target Tracking Using Sensor-Cloud: Sensor-Target Mapping in Presence of Overlapping Coverage. IEEE Communications Letters 18(8): 1435-1438 (2014)",coverage cloud,X,X,X
Maurizio Naldi: Balancing Leasing and Insurance Costs to Achieve Total Risk Coverage in Cloud Storage Multi-homing. GECON 2014: 146-158,coverage cloud,X,X,X
"Shanhui Sun, Jan Ernst, Archana Sapkota, Eberhard Ritzhaupt-Kleissl, Jeremy Wiles, Joachim Bamberger, Terrence Chen: Short term cloud coverage prediction using ground based all sky imager. SmartGridComm 2014: 121-126",coverage cloud,X,X,X
"Claudio Fiandrino, Nicholas Allio, Dzmitry Kliazovich, Paolo Giaccone, Pascal Bouvry: Profiling Performance of Application Partitioning for Wearable Devices in Mobile Cloud and Fog Computing. IEEE Access 7: 12156-12166 (2019)",profiling cloud,X,X,X
"Blerina Spahiu, Andrea Maurino, Robert Meusel: Topic profiling benchmarks in the linked open data cloud: Issues and lessons learned. Semantic Web 10(2): 329-348 (2019)",profiling cloud,X,X,X
"Christopher B. Hauser, Stefan Wesner: Reviewing Cloud Monitoring: Towards Cloud Resource Profiling. IEEE CLOUD 2018: 678-685",profiling cloud,X,X,X
"Joel Scheuner, Philipp Leitner: Estimating Cloud Application Performance Based on Micro-Benchmark Profiling. IEEE CLOUD 2018: 90-97",profiling cloud,X,X,X
"Ian S. Adams, S. Joseph Munchak, Lihua Li, Paul Racette, Dong L. Wu, Gerald M. Heymsfield, Adrian M. Loftus: Profiling Supercooled Liquid Water Clouds with Multi-Frequency Radar. IGARSS 2018: 3888-3890",profiling cloud,X,X,X
"Alexander V. Smirnov, Nikolay Teslya, Andrew Ponomarev, Alexey M. Kashevnik: Profiling Contributors in the Human-Computer Cloud. SMARTCOMP 2018: 327-332",profiling cloud,X,X,X
"Matt Baughman, Ryan Chard, Logan T. Ward, Jason Pitt, Kyle Chard, Ian T. Foster: Profiling and Predicting Application Performance on the Cloud. UCC 2018: 21-30",profiling cloud,X,X,X
"Fangxi Yin, Denghui Dong, Chuansheng Lu, Tongbao Zhang, Sanhong Li, Jianmei Guo, Kingsum Chow: Cloud-Scale Java Profiling at Alibaba. ICPE Companion 2018: 99-100",profiling cloud,X,X,X
"Ibrahim Alzamil: Energy-aware profiling and prediction modelling of virtual machines in cloud computing environments. University of Leeds, UK 2017",profiling cloud,X,X,X
"Ryan Chard, Kyle Chard, Rich Wolski, Ravi K. Madduri, Bryan Ng, Kris Bubendorfer, Ian T. Foster: Cost-Aware Cloud Profiling, Prediction, and Provisioning as a Service. IEEE Cloud Computing 4(4): 48-59 (2017)",profiling cloud,X,X,X
"Javid Taheri, Albert Y. Zomaya, Andreas Kassler: vmBBProfiler: a black-box profiling approach to quantify sensitivity of virtual machines to shared cloud resources. Computing 99(12): 1149-1177 (2017)",profiling cloud,X,X,X
"Pengfei Zhang, Yusu Zhao, Yongkun Wang, Yaohui Jin: SDN enhanced tomography for performance profiling in cloud network. IET Communications 11(4): 593-603 (2017)",profiling cloud,X,X,X
"Shashank Shekhar, Yogesh D. Barve, Aniruddha S. Gokhale: Understanding Performance Interference Benchmarking and Application Profiling Techniques for Cloud-hosted Latency-Sensitive Applications. UCC 2017: 187-188",profiling cloud,X,X,X
"Ioannis Giannakopoulos, Dimitrios Tsoumakos, Nectarios Koziris: A Decision Tree Based Approach Towards Adaptive Profiling of Cloud Applications. CoRR abs/1704.02855 (2017)",profiling cloud,X,X,X
"Ryan Chard, Kyle Chard, Bryan Ng, Kris Bubendorfer, Alex Rodriguez, Ravi K. Madduri, Ian T. Foster: An Automated Tool Profiling Service for the Cloud. CCGrid 2016: 223-232",profiling cloud,X,X,X
"Zhaohui Wu, Xiang Li, Peter Garraghan, Xiaohong Jiang, Kejiang Ye, Albert Y. Zomaya: Virtual Machine Level Temperature Profiling and Prediction in Cloud Datacenters. ICDCS 2016: 735-736",profiling cloud,X,X,X
"Qian Liu, Zhisheng Yan, Chang Wen Chen: Cloud-based video streaming with systematic mobile display energy saving: Rate-distortion-display energy profiling. ICIP 2016: 1504-1508",profiling cloud,X,X,X
"Shayan Shams, Nayong Kim, Xiandong Meng, Ming Tai Ha, Shantenu Jha, Zhong Wang, Joohyun Kim: A Scalable Pipeline for Transcriptome Profiling Tasks with On-Demand Computing Clouds. IPDPS Workshops 2016: 443-452",profiling cloud,X,X,X
"Ibrahim Alzamil, Karim Djemame, Django Armstrong, Richard E. Kavanagh: Energy-Aware Profiling for Cloud Computing Environments. Electr. Notes Theor. Comput. Sci. 318: 91-108 (2015)",profiling cloud,X,X,X
"Rafael Weingärtner, Gabriel Beims Bräscher, Carlos Becker Westphall: Cloud resource management: A survey on forecasting and profiling models. J. Network and Computer Applications 47: 99-106 (2015)",profiling cloud,X,X,X
"Alessandro Battaglia, Pavlos Kollias: Impact of Receiver Saturation on Surface Doppler Velocity Measurements From the EarthCARE Cloud Profiling Radar. IEEE Trans. Geoscience and Remote Sensing 53(3): 1205-1212 (2015)",profiling cloud,X,X,X
"Vikas Pandey, Shashank Singh, Shashikala Tapaswi: Energy and Time Efficient Algorithm for Cloud Offloading Using Dynamic Profiling. Wireless Personal Communications 80(4): 1687-1701 (2015)",profiling cloud,X,X,X
"Anthony O. Ayodele, Jia Rao, Terrance E. Boult: Performance Measurement and Interference Profiling in Multi-tenant Clouds. CLOUD 2015: 941-949",profiling cloud,X,X,X
"Elhadj Benkhelifa, Thomas Welsh, Lo'ai Ali Tawalbeh, Yaser Jararweh, Anas Basalamah: User Profiling for Energy Optimisation in Mobile Cloud Computing. ANT/SEIT 2015: 1159-1165",profiling cloud,X,X,X
"Yeali S. Sun, Yu-Feng Chen, Meng Chang Chen: Profiling temporal event behavior for demand prediction in cloud application performance management. ICC Workshops 2015: 1902-1908",profiling cloud,X,X,X
"Liuhua Chen, Shilkumar Patel, Haiying Shen, Zhongyi Zhou: Profiling and Understanding Virtualization Overhead in Cloud. ICPP 2015: 31-40",profiling cloud,X,X,X
"Minseok Kwon, Zuochao Dou, Wendi B. Heinzelman, Tolga Soyata, He Ba, Jiye Shi: Use of Network Latency Profiling and Redundancy for Cloud Server Selection. IEEE CLOUD 2014: 826-832",profiling cloud,X,X,X
"Trausti Saemundsson, Hjörtur Björnsson, Gregory V. Chockler, Ymir Vigfusson: Dynamic Performance Profiling of Cloud Caches. SoCC 2014: 28:1-28:14",profiling cloud,X,X,X
"Yuri Demchenko, Adam Belloum, David Bernstein, Cees T. A. M. de Laat: Experience of Profiling Curricula on Cloud Computing Technologies and Engineering for Different Target Groups. CloudCom 2014: 949-955",profiling cloud,X,X,X
"Rostyslav Zabolotnyi, Philipp Leitner, Schahram Dustdar: Profiling-Based Task Scheduling for Factory-Worker Applications in Infrastructure-as-a-Service Clouds. EUROMICRO-SEAA 2014: 119-126",profiling cloud,X,X,X
"Cathryn Peoples, Gerard P. Parr, Bryan W. Scotney, Sanat Sarangi, S. Kar: Profiling user behaviour for efficient and resilient cloud management. ICACCI 2014: 2636-2642",profiling cloud,X,X,X
"Goran Stupar, Dejan Nad, Aleksandar Beserminji, Istvan Papp: One solution of STB users cloud based profiling. ICCE-Berlin 2014: 364-366",profiling cloud,X,X,X
"Alexandre Kandalintsev, Renato Lo Cigno, Dzmitry Kliazovich, Pascal Bouvry: Profiling cloud applications with hardware performance counters. ICOIN 2014: 52-57",profiling cloud,X,X,X
"Evdokim Kovach, Alexey Alekhin, Marina Manrique, Pablo Pareja-Tobes, Eduardo Pareja, Raquel Tobes, Eduardo Pareja-Tobes: MG7: A fast horizontally scalable tool based on cloud computing and graph databases for microbial community profiling. IWBBIO 2014: 68",profiling cloud,X,X,X
"Yalda Ebadi, Nima Jafari Navimipour: An energy-aware method for data replication in the cloud environments using a Tabu search and particle swarm optimization algorithm. Concurrency and Computation: Practice and Experience 31(1) (2019)",tabu search cloud,X,X,X
"Mohamed Hanine, El Habib Benlahmar: QoS in the Cloud Computing: A Load Balancing Approach Using Simulated Annealing Algorithm. BDCA 2018: 43-54",simulated annealing cloud,X,X,X
"Mehdi Rajabzadeh, Abolfazl Toroghi Haghighat: Energy-aware framework with Markov chain-based parallel simulated annealing algorithm for dynamic management of virtual machines in cloud data centers. The Journal of Supercomputing 73(5): 2001-2017 (2017)",simulated annealing cloud,X,X,X
"Bonan Huang, Weiwei Xia, Yueyue Zhang, Jing Zhang, Qian Zou, Feng Yan, Lianfeng Shen: A task assignment algorithm based on particle swarm optimization and simulated annealing in Ad-hoc mobile cloud. WCSP 2017: 1-6",simulated annealing cloud,X,X,X
"Yidong Li, Xiangjun Meng, Hairong Dong: A Simulated Annealing Combined Genetic Algorithm for Virtual Machine Migration in Cloud Datacenters. DASC/PiCom/DataCom/CyberSciTech 2016: 572-577",simulated annealing cloud,X,X,X
"Juan Du, Xu Zhou, Shu Tao, Qian Liu: Cloud Adaptive Parallel Simulated Annealing Genetic Algorithm in the Application of Personnel Scheduling in National Geographic Conditions Monitoring. FSDM 2016: 377-389",simulated annealing cloud,X,X,X
"Nasser R. Sabar, Andy Song: Grammatical Evolution Enhancing Simulated Annealing for the Load Balancing Problem in Cloud Computing. GECCO 2016: 997-1003",simulated annealing cloud,X,X,X
"Bing Hu, Lin Yao, Yong Chen, Zinxin Sun: Cloud Resource Combinatorial Double Auction Algorithm Based on Genetic Algorithm and Simulated Annealing. QSHINE 2016: 435-445",simulated annealing cloud,X,X,X
"Ioannis A. Moschakis, Helen D. Karatza: Towards scheduling for Internet-of-Things applications on clouds: a simulated annealing approach. Concurrency and Computation: Practice and Experience 27(8): 1886-1899 (2015)",simulated annealing cloud,X,X,X
"Jing Geng, Min-Liang Huang, Ming-Wei Li, Wei-Chiang Hong: Hybridization of seasonal chaotic cloud simulated annealing algorithm in a SVR-based load forecasting model. Neurocomputing 151: 1362-1373 (2015)",simulated annealing cloud,X,X,X
"Ming-Wei Li, Duanfeng Han, Wenlong Wang: Vessel traffic flow forecasting by RSVR with chaotic cloud simulated annealing genetic algorithm and KPCA. Neurocomputing 157: 243-255 (2015)",simulated annealing cloud,X,X,X
"Ioannis A. Moschakis, Helen D. Karatza: Multi-criteria scheduling of Bag-of-Tasks applications on heterogeneous interlinked clouds with simulated annealing. Journal of Systems and Software 101: 1-14 (2015)",simulated annealing cloud,X,X,X
"Antonio Marotta, Stefano Avallone: A Simulated Annealing Based Approach for Power Efficient Virtual Machines Consolidation. CLOUD 2015: 445-452",simulated annealing cloud,X,X,X
"Giuseppe Portaluri, Stefano Giordano: Power efficient resource allocation in cloud computing data centers using multi-objective genetic algorithms and simulated annealing. CLOUDNET 2015: 319-321",simulated annealing cloud,X,X,X
"Yuchao Zhang, Ke Xu, Xuelin Shi, Haiyang Wang, Jiangchuan Liu, Yong Wang: Design, modeling, and analysis of online combinatorial double auction for mobile cloud computing markets. Int. J. Communication Systems 31(7) (2018)",combinatorial cloud,X,X,X
"Dinesh Kumar, Gaurav Baranwal, Zahid Raza, Deo Prakash Vidyarthi: A truthful combinatorial double auction-based marketplace mechanism for cloud computing. Journal of Systems and Software 140: 91-108 (2018)",combinatorial cloud,X,X,X
"Seyedeh Aso Tafsiri, Saleh Yousefi: Combinatorial double auction-based resource allocation mechanism in cloud computing market. Journal of Systems and Software 137: 322-334 (2018)",combinatorial cloud,X,X,X
"Vinu Prasad G, Abhinandan S. Prasad, Shrisha Rao: A Combinatorial Auction Mechanism for Multiple Resource Procurement in Cloud Computing. IEEE Trans. Cloud Computing 6(4): 904-914 (2018)",combinatorial cloud,X,X,X
"Diana Gudu, Marcus Hardt, Achim Streit: Combinatorial Auction Algorithm Selection for Cloud Resource Allocation Using Machine Learning. Euro-Par 2018: 378-391",combinatorial cloud,X,X,X
"Yutong Zhai, Liusheng Huang, Long Chen, Ning Xiao, Yangyang Geng: COUSTIC: Combinatorial Double Auction for Crowd Sensing Task Assignment in Device-to-Device Clouds. ICA3PP (1) 2018: 636-651",combinatorial cloud,X,X,X
"Diana Gudu, Gabriel Zachmann, Marcus Hardt, Achim Streit: Approximate Algorithms for Double Combinatorial Auctions for Resource Allocation in Clouds: An Empirical Comparison. ICAART (1) 2018: 58-69",combinatorial cloud,X,X,X
"Luqing Luo, Lulu Tang, Zhi-Xin Yang: Learning Combinatorial Global and Local Features on 3D Point Clouds. SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI 2018: 1956-1961",combinatorial cloud,X,X,X
"Yutong Zhai, Liusheng Huang, Long Chen, Ning Xiao, Yangyang Geng: COUSTIC: Combinatorial Double auction for Task Assignment in Device-to-Device Clouds. CoRR abs/1810.10697 (2018)",combinatorial cloud,X,X,X
"Wei-Tek Tsai, Guanqiu Qi: Combinatorial Testing in Cloud Computing. Springer Briefs in Computer Science, Springer 2017, ISBN 978-981-10-4480-9, pp. 1-128",combinatorial cloud,PASS,PASS,PASS
"Huda Hallawi, Jörn Mehnen, Hongmei He: Multi-Capacity Combinatorial Ordering GA in Application to Cloud resources allocation and efficient virtual machines consolidation. Future Generation Comp. Syst. 69: 1-10 (2017)",combinatorial cloud,X,X,X
"Yunhao Xia, Hanshu Hong, Guofeng Lin, Zhixin Sun: A Secure and Efficient Cloud Resource Allocation Scheme with Trust Evaluation Mechanism Based on Combinatorial Double Auction. TIIS 11(9): 4197-4219 (2017)",combinatorial cloud,X,X,X
"Xueyi Wang, Xingwei Wang, Min Huang: Combinatorial double auction-based mechanism with group price for cloud service reservation using swarm intelligence. ICNC-FSKD 2017: 953-958",combinatorial cloud,X,X,X
"Mario Brcic, Nikica Hlupic: Cloud-distributed computational experiments for combinatorial optimization. MIPRO 2017: 197-201",combinatorial cloud,X,X,X
"Artur Fonseca, José Simão, Luís Veiga: FairCloud: Truthful Cloud Scheduling with Continuous and Combinatorial Auctions. OTM Conferences (2) 2017: 68-85",combinatorial cloud,X,X,X
"Parnia Samimi, Youness Teimouri, Muriati Mukhtar: A combinatorial double auction resource allocation model in cloud computing. Inf. Sci. 357: 201-216 (2016)",combinatorial cloud,X,X,X
"Kaiyang Liu, Jun Peng, Xiaoyong Zhang, Zhiwu Huang: A Combinatorial Optimization for Energy-Efficient Mobile Cloud Offloading over Cellular Networks. GLOBECOM 2016: 1-6",combinatorial cloud,X,X,X
"Bing Hu, Lin Yao, Yong Chen, Zinxin Sun: Cloud Resource Combinatorial Double Auction Algorithm Based on Genetic Algorithm and Simulated Annealing. QSHINE 2016: 435-445",combinatorial cloud,X,X,X
"Xueyi Wang, Xingwei Wang, Min Huang, Zun Wang: Combinatorial Reverse Auction-Based Service Provision in Social Clouds. Trustcom/BigDataSE/ISPA 2016: 2097-2102",combinatorial cloud,X,X,X
"Reihaneh Hassanzadeh, Ali Movaghar, Hamid Reza Hassanzadeh: A Multi-Dimensional Fairness Combinatorial Double-Sided Auction Model in Cloud Environment. CoRR abs/1608.05315 (2016)",combinatorial cloud,X,X,X
"Heba Kurdi, Abeer Al-Anazi, Carlene Campbell, Auhood Abdullah Alfaries: A combinatorial optimization algorithm for multiple cloud service composition. Computers & Electrical Engineering 42: 107-113 (2015)",combinatorial cloud,X,X,X
"Gaurav Baranwal, Deo Prakash Vidyarthi: A fair multi-attribute combinatorial double auction model for resource allocation in cloud computing. Journal of Systems and Software 108: 60-76 (2015)",combinatorial cloud,X,X,X
"Zehao Sun, Zhenyu Zhu, Long Chen, Hongli Xu, Liusheng Huang: A combinatorial double auction mechanism for cloud resource group-buying. IPCCC 2014: 1-8",combinatorial cloud,X,X,X
"Ke Xu, Yuchao Zhang, Xuelin Shi, Haiyang Wang, Yong Wang, Meng Shen: Online combinatorial double auction for mobile cloud computing markets. IPCCC 2014: 1-8",combinatorial cloud,X,X,X
"Han Zhao, Xiaolin Li: Efficient Task-Resource Matchmaking Using Self-adaptive Combinatorial Auction. Cloud Computing for Data-Intensive Applications 2014: 177-200",combinatorial cloud,X,X,X
"Chandrashekar Jatoth, G. R. Gangadharan, Rajkumar Buyya: Optimal Fitness Aware Cloud Service Composition using an Adaptive Genotypes Evolution based Genetic Algorithm. Future Generation Comp. Syst. 94: 185-198 (2019)",cloud genetic,X,X,X
"Pasquale Salza, Filomena Ferrucci: Speed up genetic algorithms in the cloud using software containers. Future Generation Comp. Syst. 92: 276-289 (2019)",cloud genetic,X,X,X
"Huda Ibrahim, Raafat O. Aburukba, Khaled El-Fakih: An Integer Linear Programming model and Adaptive Genetic Algorithm approach to minimize energy consumption of Cloud computing data centers. Computers & Electrical Engineering 67: 551-565 (2018)",cloud genetic,X,X,X
"Henrique Yoshikazu Shishido, Júlio Cezar Estrella, Claudio Fabiano Motta Toledo, Márcio da Silva Arantes: Genetic-based algorithms applied to a workflow scheduling algorithm with security and deadline constraints in clouds. Computers & Electrical Engineering 69: 378-394 (2018)",cloud genetic,X,X,X
"Zhigao Zheng, Zunxin Zheng: Towards an improved heuristic genetic algorithm for static content delivery in cloud storage. Computers & Electrical Engineering 69: 422-434 (2018)",cloud genetic,X,X,X
"N. Gobalakrishnan, C. Arun: A New Multi-Objective Optimal Programming Model for Task Scheduling using Genetic Gray Wolf Optimization in Cloud Computing. Comput. J. 61(10): 1523-1536 (2018)",cloud genetic,X,X,X
"Amjad Mahmood, Salman A. Khan, Rashed A. Bahlool: Correction: Mahmood et al. Hard Real-Time Task Scheduling in Cloud Computing Using an Adaptive Genetic Algorithm. Computers 2017, 6, 15. Computers 7(2): 35 (2018)",cloud genetic,X,X,X
"Hatem Aziza, Saoussen Krichen: Bi-objective decision support system for task-scheduling based on genetic algorithm in cloud computing. Computing 100(2): 65-91 (2018)",cloud genetic,X,X,X
"Siguang Li, Zhengwen Huang, Liangxiu Han, Changjun Jiang: A genetic algorithm enhanced automatic data flow management solution for facilitating data intensive applications in the cloud. Concurrency and Computation: Practice and Experience 30(23) (2018)",cloud genetic,X,X,X
"M. M. Annie Alphonsa, P. Amudhavalli: Genetically modified glowworm swarm optimization based privacy preservation in cloud computing for healthcare sector. Evolutionary Intelligence 11(1-2): 101-116 (2018)",cloud genetic,X,X,X
"Weifeng Pan, Chunlai Chai: Structure-aware Mashup service Clustering for cloud-based Internet of Things using genetic algorithm based clustering algorithm. Future Generation Comp. Syst. 87: 267-277 (2018)",cloud genetic,X,X,X
"Wenke Zang, Liyan Ren, Wenqian Zhang, Xiyu Liu: A cloud model based DNA genetic algorithm for numerical optimization problems. Future Generation Comp. Syst. 81: 465-477 (2018)",cloud genetic,X,X,X
"Mahalakshmi Jeyabalu, Kuppusamy Krishnamoorthy: Hybridization of ICBC and Genetic Algorithm for Optimizing Encryption Process in Cloud Computing Application Service. Fundam. Inform. 157(1-2): 79-109 (2018)",cloud genetic,X,X,X
"Carlos Guerrero, Isaac Lera, Carlos Juiz: Genetic Algorithm for Multi-Objective Optimization of Container Allocation in Cloud Architecture. J. Grid Comput. 16(1): 113-135 (2018)",cloud genetic,X,X,X
